Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,5.027128037638869529e+01,9.288003723867619499e+01,2.267000000000000171e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.902219772338867188e-01,5.027128037638869529e+01,9.288003723867619499e+01,2.276999999999999957e+01,2.108999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.980445146560668945e+00,5.027128037638869529e+01,9.288003723867619499e+01,2.430999999999999872e+01,2.228000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.970667600631713867e+00,5.027128037638869529e+01,9.288003723867619499e+01,2.385999999999999943e+01,2.292999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.960891485214233398e+00,5.027128037638869529e+01,9.288003723867619499e+01,2.425000000000000000e+01,2.269999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.951219081878662109e+00,5.027128037638869529e+01,9.288003723867619499e+01,2.425000000000000000e+01,2.319000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.941441535949707031e+00,5.027128037638869529e+01,9.288003723867619499e+01,2.453999999999999915e+01,2.325000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.931665182113647461e+00,5.027128037638869529e+01,9.288003723867619499e+01,2.482999999999999829e+01,2.344000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.921888113021850586e+00,5.027128037638869529e+01,9.288003723867619499e+01,2.464000000000000057e+01,2.357000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.912110805511474609e+00,5.027128037638869529e+01,9.288003723867619499e+01,2.521999999999999886e+01,2.357000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.902333736419677734e+00,5.027128037638869529e+01,9.288003723867619499e+01,2.444000000000000128e+01,2.385999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.089255642890930176e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.525000000000000000e+01,2.351000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.188378000259399414e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.508999999999999986e+01,2.373000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.287400221824645996e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.514999999999999858e+01,2.373000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.386422634124755859e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.457000000000000028e+01,2.430999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.485457348823547363e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.514999999999999858e+01,2.289999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.584479713439941406e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.480000000000000071e+01,2.398999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.683501982688903809e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.505999999999999872e+01,2.398999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.782524275779724121e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.505999999999999872e+01,2.380000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.881546592712402344e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.553999999999999915e+01,2.396000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.980568766593933105e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.573000000000000043e+01,2.351000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.079591083526611328e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.557000000000000028e+01,2.498999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.178613352775573730e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.625000000000000000e+01,2.408999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.277635741233825684e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.598999999999999844e+01,2.501999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.376657938957214355e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.667000000000000171e+01,2.464000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.475680375099182129e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.653999999999999915e+01,2.457000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.574702525138854980e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.651000000000000156e+01,2.530999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.673724794387817383e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.696000000000000085e+01,2.489000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.772747182846069336e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.653999999999999915e+01,2.582999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.871769452095031738e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.705000000000000071e+01,2.535000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.970791840553283691e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.646999999999999886e+01,2.546999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.069814181327819824e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.730999999999999872e+01,2.551000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.168836259841918945e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.696000000000000085e+01,2.546999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.267858529090881348e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.692000000000000171e+01,2.612000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.366886591911315918e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.721000000000000085e+01,2.553999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.465908837318420410e+01,5.027128037638869529e+01,9.288003723867619499e+01,2.669999999999999929e+01,2.621999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
