Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.276999999999999957e+01,2.108999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.902231693267822266e-01,1.000000000000000000e+02,0.000000000000000000e+00,2.273999999999999844e+01,2.119000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.980444669723510742e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.441000000000000014e+01,2.335000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.970669746398925781e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.485999999999999943e+01,2.289999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.960892438888549805e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.448000000000000043e+01,2.303000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.951115608215332031e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.448000000000000043e+01,2.308999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.941352605819702148e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.473000000000000043e+01,2.273999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.931575298309326172e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.464000000000000057e+01,2.292999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.921797513961791992e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.508999999999999986e+01,2.280000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.912544727325439453e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.485999999999999943e+01,2.276999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.902767419815063477e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.492999999999999972e+01,2.298999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.089299082756042480e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.508999999999999986e+01,2.296000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.188321924209594727e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.569999999999999929e+01,2.280000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.287344264984130859e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.537999999999999901e+01,2.341000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.386366462707519531e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.614999999999999858e+01,2.305999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.485388803482055664e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.573000000000000043e+01,2.292999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.584411144256591797e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.617999999999999972e+01,2.289999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.683433532714843750e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.637999999999999901e+01,2.285999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.782455778121948242e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.662999999999999901e+01,2.353999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
