Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
1.485480070114135742e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.660000000000000142e+01,2.482999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.584501481056213379e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.696000000000000085e+01,2.517999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.683508110046386719e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.728000000000000114e+01,2.525000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.782530379295349121e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.757000000000000028e+01,2.576000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.881553483009338379e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.812000000000000099e+01,2.553999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.980574846267700195e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.801999999999999957e+01,2.567000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.079597973823547363e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.821000000000000085e+01,2.485999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.178619337081909180e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.817999999999999972e+01,2.557000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.277642464637756348e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.821000000000000085e+01,2.576000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.376663804054260254e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.860000000000000142e+01,2.541000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.475686049461364746e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.867000000000000171e+01,2.641000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.574778532981872559e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.928000000000000114e+01,2.653999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.673803067207336426e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.928000000000000114e+01,2.644000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.772825598716735840e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.914999999999999858e+01,2.605000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.871847820281982422e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.969999999999999929e+01,2.546999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.970870900154113770e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.041000000000000014e+01,2.608999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.069893169403076172e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.966000000000000014e+01,2.646999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.168914556503295898e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.014999999999999858e+01,2.653999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.267937684059143066e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.066000000000000014e+01,2.660000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.367008638381958008e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.153000000000000114e+01,2.701999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.466030025482177734e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.160000000000000142e+01,2.760000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.565053153038024902e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.204999999999999716e+01,2.712000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.664120435714721680e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.178999999999999915e+01,2.785999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.763142633438110352e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.231000000000000227e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.862164855003356934e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.214999999999999858e+01,2.769999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.961187148094177246e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.278999999999999915e+01,2.762999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.060220289230346680e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.307999999999999829e+01,2.801999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.159328222274780273e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.350000000000000000e+01,2.812000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.258351302146911621e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.360000000000000142e+01,2.912000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.357372665405273438e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.429999999999999716e+01,2.878999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.456394958496093750e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.400999999999999801e+01,2.912000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.555417156219482422e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.427000000000000313e+01,2.869999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.654440283775329590e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.485000000000000142e+01,2.885999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.753461647033691406e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.465999999999999659e+01,2.907999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.852483916282653809e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.529999999999999716e+01,2.844000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.951590585708618164e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.521000000000000085e+01,2.957000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.050612854957580566e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.595000000000000284e+01,2.962999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.149682807922363281e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.607999999999999829e+01,2.953999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.248705101013183594e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.600999999999999801e+01,2.892000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.347727346420288086e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.671999999999999886e+01,3.001999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.446749615669250488e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.692000000000000171e+01,3.007999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.545773553848266602e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.650000000000000000e+01,3.012000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.644795846939086914e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.736999999999999744e+01,2.953999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.743818378448486328e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.756000000000000227e+01,3.066000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.842840600013732910e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.756000000000000227e+01,3.062999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.941921281814575195e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.753000000000000114e+01,3.076000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.041037106513977051e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.797999999999999687e+01,3.128000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.140072727203369141e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.914000000000000057e+01,3.041000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.239131188392639160e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.849000000000000199e+01,3.053000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.338153457641601562e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.924000000000000199e+01,3.073000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.437175631523132324e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.868999999999999773e+01,3.150000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.536197876930236816e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.888000000000000256e+01,3.105000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.635287642478942871e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.946000000000000085e+01,3.146999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.734352588653564453e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.988000000000000256e+01,3.117999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.833374786376953125e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.017000000000000171e+01,3.231000000000000227e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.932458186149597168e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.961999999999999744e+01,3.217999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.031481218338012695e+01,1.000000000000000000e+02,1.000000000000000000e+02,3.993999999999999773e+01,3.146999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.130502653121948242e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.020000000000000284e+01,3.176000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.229524827003479004e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.075000000000000000e+01,3.239999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.328547096252441406e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.161999999999999744e+01,3.275999999999999801e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.427570223808288574e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.146000000000000085e+01,3.310999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.526592445373535156e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.188000000000000256e+01,3.236999999999999744e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.625614714622497559e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.220000000000000284e+01,3.289000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.724636101722717285e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.220000000000000284e+01,3.331000000000000227e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.823659181594848633e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.259000000000000341e+01,3.371999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.922680568695068359e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.261999999999999744e+01,3.410999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.021703696250915527e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.339000000000000057e+01,3.404999999999999716e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.120725059509277344e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.322999999999999687e+01,3.365999999999999659e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.219748473167419434e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.371000000000000085e+01,3.365999999999999659e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.318817734718322754e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.339000000000000057e+01,3.424000000000000199e+01,2.300000000000000000e+01,2.300000000000000000e+01
