Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.377000000000000313e+01,5.006000000000000227e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.902226924896240234e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.357999999999999829e+01,4.971000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.980445623397827148e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.338000000000000256e+01,4.977000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.970668315887451172e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.345000000000000284e+01,4.960999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.961124420166015625e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.332000000000000028e+01,4.945000000000000284e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.951356172561645508e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.300000000000000000e+01,4.935000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.941570043563842773e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.279999999999999716e+01,4.922999999999999687e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.931793212890625000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.277000000000000313e+01,4.906000000000000227e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.922015905380249023e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.264000000000000057e+01,4.886999999999999744e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.912247657775878906e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.247999999999999687e+01,4.900000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.902461767196655273e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.245000000000000284e+01,4.896999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.089269351959228516e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.215999999999999659e+01,4.874000000000000199e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.188290762901306152e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.213000000000000256e+01,4.877000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.287313914299011230e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.189999999999999858e+01,4.864999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.386335349082946777e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.171000000000000085e+01,4.847999999999999687e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.485358524322509766e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.160999999999999943e+01,4.835999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.584379935264587402e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.145000000000000284e+01,4.803000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.683403086662292480e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.145000000000000284e+01,4.810000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.782425403594970703e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.118999999999999773e+01,4.793999999999999773e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.881446838378906250e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.115999999999999659e+01,4.793999999999999773e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.980469965934753418e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.096999999999999886e+01,4.796999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.079491353034973145e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.089999999999999858e+01,4.796999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.178513693809509277e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.077000000000000313e+01,4.786999999999999744e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.277535963058471680e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.047999999999999687e+01,4.771000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.395662522315979004e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.021999999999999886e+01,4.752000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.494684815406799316e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.018999999999999773e+01,4.728999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
