Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.276999999999999957e+01,2.108999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.902236461639404297e-01,1.000000000000000000e+02,0.000000000000000000e+00,2.267000000000000171e+01,2.121999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.980450153350830078e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.276999999999999957e+01,2.119000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.970673322677612305e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.269999999999999929e+01,2.119000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.960896015167236328e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.280000000000000071e+01,2.119000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.951119899749755859e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.273999999999999844e+01,2.119000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.941342592239379883e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.273999999999999844e+01,2.116000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.931565523147583008e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.273999999999999844e+01,2.119000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.921788454055786133e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.273999999999999844e+01,2.112000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.912011384963989258e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.273999999999999844e+01,2.119000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.902233600616455078e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.273999999999999844e+01,2.112000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.089245629310607910e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.273999999999999844e+01,2.108999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.188319563865661621e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.276999999999999957e+01,2.116000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.287341856956481934e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.280000000000000071e+01,2.116000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
