Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
1.881664299964904785e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.161999999999999744e+01,2.789000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.980686521530151367e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.120000000000000284e+01,2.898999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.079708814620971680e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.171999999999999886e+01,2.828000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.178750467300415039e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.135999999999999943e+01,2.878999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.277772736549377441e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.161999999999999744e+01,2.860000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.376794934272766113e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.139000000000000057e+01,2.853999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.475817251205444336e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.222999999999999687e+01,2.873000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.574839448928833008e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.200999999999999801e+01,2.850000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.673861718177795410e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.222999999999999687e+01,2.896000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.772883939743041992e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.339000000000000057e+01,2.912000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.871906208992004395e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.254999999999999716e+01,3.028000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.970928406715393066e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.288000000000000256e+01,2.937000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.069950699806213379e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.320000000000000284e+01,2.973000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.168972921371459961e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.352000000000000313e+01,2.978999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.267995190620422363e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.354999999999999716e+01,3.028000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.367017436027526855e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.325999999999999801e+01,3.053000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.466039681434631348e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.449000000000000199e+01,3.044000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.565061950683593750e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.354999999999999716e+01,3.094999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.664072537422180176e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.454999999999999716e+01,3.073000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.763094758987426758e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.422999999999999687e+01,3.098999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.862117004394531250e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.461999999999999744e+01,3.066000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.961139249801635742e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.535999999999999943e+01,3.123999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.060160613059997559e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.507000000000000028e+01,3.128000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.159183740615844727e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.488000000000000256e+01,3.133999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
