Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.068999999999999773e+01,3.927000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.902231693267822266e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.056000000000000227e+01,3.917000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.980455160140991211e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.032999999999999829e+01,3.890999999999999659e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.970677614212036133e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.027000000000000313e+01,3.885000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.960901021957397461e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.014000000000000057e+01,3.875000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.951123476028442383e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.010999999999999943e+01,3.865999999999999659e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.941338062286376953e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.993999999999999773e+01,3.859000000000000341e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.931560754776000977e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.993999999999999773e+01,3.875000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.921783208847045898e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.988000000000000256e+01,3.859000000000000341e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.912007093429565430e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.975000000000000000e+01,3.842999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.902238368988037109e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.964999999999999858e+01,3.849000000000000199e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.089246082305908203e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.949000000000000199e+01,3.853000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.188267588615417480e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.959000000000000341e+01,3.846000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.287290668487548828e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.956000000000000227e+01,3.827000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.386312103271484375e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.942999999999999972e+01,3.832999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.485335254669189453e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.935999999999999943e+01,3.824000000000000199e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.584356713294982910e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.927000000000000313e+01,3.814000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.683378982543945312e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.914000000000000057e+01,3.788000000000000256e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.782402133941650391e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.910999999999999943e+01,3.800999999999999801e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.881423568725585938e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.897999999999999687e+01,3.800999999999999801e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.980445790290832520e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.897999999999999687e+01,3.768999999999999773e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.079468178749084473e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.890999999999999659e+01,3.790999999999999659e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.178490447998046875e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.882000000000000028e+01,3.768999999999999773e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.277513623237609863e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.861999999999999744e+01,3.756000000000000227e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.376535010337829590e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.861999999999999744e+01,3.746000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
