Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.037999999999999901e+01,1.876999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.907274246215820312e-01,1.000000000000000000e+02,1.000000000000000000e+02,2.037999999999999901e+01,1.880000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.981036663055419922e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.337999999999999901e+01,2.173999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.971259355545043945e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.253999999999999915e+01,2.180000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.962094783782958984e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.319000000000000128e+01,2.205999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.952317953109741211e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.321999999999999886e+01,2.273999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.939764022827148438e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.348000000000000043e+01,2.237999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.929986238479614258e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.314999999999999858e+01,2.228000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.920316934585571289e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.303000000000000114e+01,2.169999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.910558462142944336e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.344000000000000128e+01,2.128999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.090078067779541016e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.312000000000000099e+01,2.219000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.189100313186645508e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.376999999999999957e+01,2.157999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.288189673423767090e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.364000000000000057e+01,2.280000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.387229561805725098e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.421999999999999886e+01,2.180000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.486310768127441406e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.512000000000000099e+01,2.241000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.585332989692687988e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.467000000000000171e+01,2.305999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.684355235099792480e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.460000000000000142e+01,2.321999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.783470034599304199e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.480000000000000071e+01,2.257000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.882513570785522461e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.457000000000000028e+01,2.219000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.981601905822753906e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.596000000000000085e+01,2.312000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
